<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
RI.MICEX LC,W,20110516,000000,2584.8600000
RI.MICEX LC,W,20110523,000000,2641.1800000
RI.MICEX LC,W,20110530,000000,2614.8500000
RI.MICEX LC,W,20110606,000000,2700.6600000
RI.MICEX LC,W,20110613,000000,2630.5700000
RI.MICEX LC,W,20110620,000000,2620.3000000
RI.MICEX LC,W,20110627,000000,2728.7400000
RI.MICEX LC,W,20110704,000000,2762.2200000
RI.MICEX LC,W,20110711,000000,2743.2800000
RI.MICEX LC,W,20110718,000000,2773.2700000
RI.MICEX LC,W,20110725,000000,2735.3000000
RI.MICEX LC,W,20110801,000000,2554.4400000
RI.MICEX LC,W,20110808,000000,2371.1100000
RI.MICEX LC,W,20110815,000000,2310.8900000
RI.MICEX LC,W,20110822,000000,2353.8700000
RI.MICEX LC,W,20110829,000000,2444.0600000
RI.MICEX LC,W,20110905,000000,2462.6900000
RI.MICEX LC,W,20110912,000000,2454.3300000
RI.MICEX LC,W,20110919,000000,2152.3100000
RI.MICEX LC,W,20110926,000000,2238.7400000
RI.MICEX LC,W,20111003,000000,2208.6200000
RI.MICEX LC,W,20111010,000000,2351.2600000
RI.MICEX LC,W,20111017,000000,2362.6700000
RI.MICEX LC,W,20111024,000000,2485.4300000
RI.MICEX LC,W,20111031,000000,2442.0800000
RI.MICEX LC,W,20111107,000000,2414.0800000
RI.MICEX LC,W,20111114,000000,2375.9400000
RI.MICEX LC,W,20111121,000000,2293.2700000
RI.MICEX LC,W,20111128,000000,2442.9500000
RI.MICEX LC,W,20111205,000000,2262.8300000
RI.MICEX LC,W,20111212,000000,2245.1700000
RI.MICEX LC,W,20111219,000000,2233.8400000
RI.MICEX LC,W,20111226,000000,2270.6800000
RI.MICEX LC,W,20120102,000000,2329.3900000
RI.MICEX LC,W,20120109,000000,2362.2400000
RI.MICEX LC,W,20120116,000000,2402.3000000
RI.MICEX LC,W,20120123,000000,2423.2600000
RI.MICEX LC,W,20120130,000000,2516.7800000
RI.MICEX LC,W,20120206,000000,2442.0500000
RI.MICEX LC,W,20120213,000000,2509.7500000
RI.MICEX LC,W,20120220,000000,2554.3100000
RI.MICEX LC,W,20120227,000000,2579.8800000
RI.MICEX LC,W,20120305,000000,2573.4800000
RI.MICEX LC,W,20120312,000000,2580.0800000
RI.MICEX LC,W,20120319,000000,2457.2600000
RI.MICEX LC,W,20120326,000000,2413.4400000
RI.MICEX LC,W,20120402,000000,2388.7400000
RI.MICEX LC,W,20120409,000000,2394.5900000
RI.MICEX LC,W,20120416,000000,2397.6700000
RI.MICEX LC,W,20120423,000000,2355.1800000
RI.MICEX LC,W,20120430,000000,2213.0500000
RI.MICEX LC,W,20120507,000000,2222.2000000
RI.MICEX LC,W,20120514,000000,2061.8900000
RI.MICEX LC,W,20120521,000000,2070.2000000
RI.MICEX LC,W,20120528,000000,2089.6600000
RI.MICEX LC,W,20120604,000000,2141.3900000
RI.MICEX LC,W,20120611,000000,2196.1300000
RI.MICEX LC,W,20120618,000000,2162.0700000
RI.MICEX LC,W,20120625,000000,2227.3200000
RI.MICEX LC,W,20120702,000000,2271.0100000
RI.MICEX LC,W,20120709,000000,2276.0200000
RI.MICEX LC,W,20120716,000000,2277.5400000
RI.MICEX LC,W,20120723,000000,2250.7000000
RI.MICEX LC,W,20120730,000000,2272.2700000
RI.MICEX LC,W,20120806,000000,2304.5400000
RI.MICEX LC,W,20120813,000000,2308.5700000
RI.MICEX LC,W,20120820,000000,2325.7600000
RI.MICEX LC,W,20120827,000000,2278.5300000
RI.MICEX LC,W,20120903,000000,2356.4900000
RI.MICEX LC,W,20120910,000000,2449.8100000
RI.MICEX LC,W,20120917,000000,2388.6600000
RI.MICEX LC,W,20120924,000000,2321.9700000
RI.MICEX LC,W,20121001,000000,2350.6700000
RI.MICEX LC,W,20121008,000000,2303.4500000
RI.MICEX LC,W,20121015,000000,2328.3600000
RI.MICEX LC,W,20121022,000000,2299.2900000
RI.MICEX LC,W,20121029,000000,2314.6400000
RI.MICEX LC,W,20121105,000000,2245.8100000
RI.MICEX LC,W,20121112,000000,2220.5900000
RI.MICEX LC,W,20121119,000000,2258.9200000
RI.MICEX LC,W,20121126,000000,2248.3200000
RI.MICEX LC,W,20121203,000000,2310.3100000
